"Youtube Video","Youtube Video"
"Youtube Channel","Youtube Channel"
"Youtube Playlist","Youtube Playlist"
"Featured video","Featured video"
"Video Player Size","Video Player Size"
"Video Thumbnail Size","Video Thumbnail Size"
"Number of video per row","Number of video per row"
"Heading","Heading"
"Show video on home page","Show video on home page"
"Show featured video","Show featured video"
"Featured video heading","Featured video heading"
"Import video uploaded by user","Import video uploaded by user"
"Import video from playlist","Import video from playlist"
